Id;Nem;SzuletesiEv;Suly;Magassag;Dohanyzik;Nemzetiseg;Nepcsoport;Tartomany;NettoJovedelem;IskolaiVegzettseg;PolitikaiNezet;AktivSzavazo;SorFogyasztasEvente;KrumpliFogyasztasEvente
284;nő;1984;65;162;nem;marokkói;;Hamburg;29000;;konzervatív;nem;35;40
285;férfi;1989;80;185;igen;ghánai;;Berlin;31000;;egyéb;nem;NA;50
286;nő;1993;70;167;nem;tanzániai;;Bréma;28000;;szocialista;nem;20;55
287;férfi;1985;88;182;igen;ugandai;;Észak-Rajna-Vesztfália;35000;Realschule;populista;nem;40;60
288;nő;1990;65;165;nem;algériai;;Berlin;30000;;egyéb;nem;NA;50
289;férfi;1984;82;175;igen;szudáni;;Hamburg;27000;;egyéb;nem;25;45
290;nő;1987;68;162;nem;angolai;;Bréma;29000;;szocialista;nem;NA;50
291;férfi;1992;90;185;igen;nigériai;;Berlin;31000;;populista;nem;35;60
292;nő;1989;70;168;nem;etióp;;Baden-Württemberg;28000;;konzervatív;nem;NA;50
293;férfi;1985;75;180;igen;egyiptomi;;Bajorország;30000;;liberális;nem;NA;55
294;nő;1991;65;162;nem;dél-afrikai;;Berlin;27000;Hauptschule;szocialista;nem;NA;60
295;férfi;1983;85;185;igen;kenyai;;Hamburg;29000;;konzervatív;nem;35;40
296;nő;1987;72;165;nem;marokkói;;Berlin;31000;;liberális;nem;25;50
297;férfi;1982;90;175;igen;ghánai;;Bréma;28000;;szocialista;nem;NA;55
298;nő;1990;68;168;nem;tanzániai;;Észak-Rajna-Vesztfália;35000;;populista;nem;40;60
299;férfi;1985;88;180;igen;ugandai;;Berlin;30000;Gymnasium;konzervatív;nem;30;50
300;nő;1984;70;167;nem;algériai;;Hamburg;27000;;liberális;nem;NA;40
301;férfi;1987;80;185;igen;szudáni;;Bréma;29000;;szocialista;nem;20;50
302;nő;1992;65;162;nem;angolai;;Berlin;31000;;populista;nem;NA;60
303;férfi;1989;90;168;igen;nigériai;;Baden-Württemberg;28000;;konzervatív;nem;40;50
304;nő;1983;72;160;nem;etióp;;Bajorország;30000;;liberális;nem;NA;55
305;férfi;1985;85;175;igen;egyiptomi;;Berlin;27000;;szocialista;nem;20;60
306;nő;1991;65;168;nem;dél-afrikai;;Hamburg;29000;Realschule;konzervatív;nem;35;40
